name,address,contact_email,contact_irc,contact_ml,contact_wiki,id,lat,lng,url
Chaostreff Potsdam (CCCP),"machBar, freiLand - Haus 5, Friedrich-Engels-Str. 22, 14473 Potsdam, Germany",,,treff@ccc-p.org,,36,52.389424,13.078555,https://www.ccc-p.org/
c3RE e.V. - Chaostreff Recklinghausen,"Westcharweg 101, 45659 Recklinghausen",kontakt@c3RE.de,,,,37,51.62435592244,7.1690101828426,https://c3re.de
Chaos Computer Club Zürich,"Chaos Computer Club Zürich, ℅ Verein Bitwäscherei, Neue Hard 12, CH-8005 Zürich, Switzerland",vorstand@ccczh.ch,ircs://irc.chaostreff.ch:6601/#ccczh,zuerich@chaostreff.ch,,38,47.38698,8.52017,https://www.ccczh.ch/
ChaosZone,Space,chaoszone@eigenbaukombinat.de,,,,39,36.5516,-159.6696,https://chaoszone.cz
CDL - Computer Deconstruction Lab,"Computer Deconstruction Lab, Building 9059, 2201 Marconi Road, Wall Township, N.J. 07719, USA",info@compdecon.org,,cdl@groups.io,,40,40.18652189759892,-74.06013028703497,https://compdecon.github.io/
coredump,"Lenzikon 32B, 8732 Neuhaus, Switzerland",vorstand@lists.coredump.ch,irc://irc.libera.chat/#coredump,,,41,47.2251,8.8339,https://www.coredump.ch/
das Labor e.V.,"Alleestrasse 50, 44793 Bochum, Germany",,,discuss@lists.das-labor.org,,42,51.4806253,7.2065778,https://das-labor.org
DevLoL,"Hofgasse 19, 4020 Linz, Austria",,ircs://irc.servus.at:6667/devlol,devlol-orga@lists.servus.at,,43,48.30573,14.28383,https://devlol.org
dezentrale,"Eisenbahnstr. 9, 04315 Leipzig",vorstand@dezentrale.space,,,,44,51.3464008,12.396221,https://dezentrale.space
East Essex Hackspace,"Hawkwell Pavilion, Park Gardens, Hockley, SS5 4HF, United Kingdom",,,,,45,51.596974,0.672686,https://eehack.space
Edinburgh Hacklab,"1 Summerhall, Edinburgh, EH9 1PL, United Kingdom",info@edinburghhacklab.com,ircs://irc.libera.chat/#edinhacklab,,,46,55.939797,-3.18162,https://edinburghhacklab.com/
Eigenbaukombinat Halle e.V.,"Landsberger Straße 3, 06112 Halle (Saale), Germany",kontakt@eigenbaukombinat.de,,,,47,51.47996,11.99221,https://eigenbaukombinat.de
Entropia,"Entropia e.V., Gewerbehof, Steinstraße 23, 76133 Karlsruhe, Germany",info@entropia.de,irc://irc.hackint.eu/#entropia,news@list.entropia.de,,48,49.0067,8.407438,https://entropia.de/
Farset Labs,"1 Weavers Court, Linfield Industrial Estate, Belfast, BT125GH, UK",info@farsetlabs.org.uk,irc://irc.freenode.net/#farsetlabs,,,49,54.592813,-5.94068,https://www.farsetlabs.org.uk
FAU FabLab,"Raum U1.239
Erwin-Rommel-Straße 60
91058 Erlangen
Germany",,,fablab-aktive@fablab.fau.de,,50,49.574,11.03,https://fablab.fau.de/
FIXME,"Chemin du Closel 3, 1020 Renens, Switzerland",info@fixme.ch,irc://freenode/#fixme,hackerspace-lausanne@lists.saitis.net,https://wiki.fixme.ch,51,46.532372,6.591292,https://fixme.ch
FabLab Allgäu,"87435 Kempten, Germany",info@fablab-allgaeu.de,,http://lists.fablab-allgaeu.de/cgi-bin/mailman/listinfo,,52,47.725,10.321,https://fablab-allgaeu.de
FabLab Karlsruhe e.V.,"Alter Schlachthof 25a, 76131 Karlsruhe, Germany",labinfo@fablab-karlsruhe.de,,,,53,49.004452253610175,8.429180916835117,https://fablab-karlsruhe.de/
FabLab Nürnberg,"Fab Lab Nürnberg e.V., Schwabacher Str. 512, 90763 Fürth, Germany",,irc://chat.freenode.net/#fln,,,54,49.437651,10.992536,http://fablab-nuernberg.de/
Forschung und Technik e.V.,"Am Seitenkanal 8b, 49811 Lingen, Germany",info@futev.de,,,,55,52.485936,7.333012,https://forschungundtechnikev.de
Frack,"Blokhuisplein 40, 8911 LJ, Leeuwarden, The Netherlands",info@frack.nl,irc://irc.eth-0.nl/#frack,general@frack.nl,,56,53.1997015,5.8005792,https://frack.nl
Freies Labor,"Borsigstr. 6, 31135 Hildesheim, Germany",kontakt@freieslabor.org,,freieslabor@freieslabor.org,,57,52.16893525221396,9.978310776453897,https://freieslabor.org
Gold Coast TechSpace Inc.,"57A Railway St, Mudgeeraba QLD 4213, Australia",manager@gctechspace.org,,,,58,153.36456032145182,-28.07861211995512,https://gctechspace.org/
Halk,"Sofiendalsvej 80, 9000 Aalborg, Denmark",bestyrelse@hal9k.dk,,,,59,57.0187,9.882,https://hal9k.dk
H.A.C.K.,"Bástya u. 12., 1056 Budapest, Hungary",hack@hsbp.org,irc://irc.atw-inter.net/hspbp,hspbp@googlegroups.com,,60,47.489167,19.059444,https://hsbp.org
HSBNE Inc.,"221c MacArthur Ave, Eagle Farm QLD 4009",contact@hsbne.org,,,,61,0,153,https://hsbne.org
Hack Manhattan,"34 West 37th Street 2nd floor rear, New York, NY 10018, United States",info@hackmanhattan.com,,,,62,40.7510781,-73.9859118,https://hackmanhattan.com/
Hack42,"Cruquiusweg 3, 6827BL Arnhem, Nederland",info@hack42.nl,irc://irc.oftc.net/#hack42,hack42@lists.hack42.nl,,63,51.97708,5.94022,https://hack42.nl/
Hackalot,"Fransebaan 93, 5627 JP Eindhoven, The Netherlands",bestuur@hackalot.nl,ircs://irc.libera.chat:6697/hackalot,hackalot@lijst.hackalot.nl,,64,51.4842127,5.4494473,https://hackalot.nl/
Hacker Embassy,"Pushkina str. 38/18, Yerevan, Armenia",hacker.embassy@proton.me,,,,65,40.18258,44.51338,https://hackem.cc/
Hackeriet,"Hausmania, Hausmannsgate 34, 0182 Oslo, Norway",styret@__SOPPELPOST__hackeriet.no,irc://irc.libera.chat/#oslohackerspace,,,66,59.919293,10.753475,https://hackeriet.no
Hackerspace Bielefeld e.V.,"Blomestrasse 27, 33609 Bielefeld, Germany",vorstand@hackerspace-bielefeld.de,,public@hackerspace-bielefeld.de,,67,52.036938093117,8.569233958072,https://hackerspace-bielefeld.de
Hackerspace Bremen e.V.,,info@hackerspace-bremen.de,,,,68,,,http://www.hackerspace-bremen.de
HSBXL,"Rue Osseghem 53 (Lion City), 1080 Bruxelles, BELGIUM",contact@hsbxl.be,,,,69,50.8553336,4.3202945,https://hsbxl.be
Hackerspace Drenthe,"Van Heekerenlaan 2, 7742 AB Coevorden, Netherlands, Entrance: graaf van Helden Reinesteinlaan / Fablab",bestuur AT hackerspace-drenthe.nl,,,,70,52.6596375,6.754659,https://hackerspace-drenthe.nl
Hackerspace Drenthe (Emmmen),"Eerste Bokslootweg 1, Emmen",bestuur AT hackerspace-drenthe.nl,,,,71,52.776987,6.907518,https://hackerspace-drenthe.nl
Hackerspace.Gent,"Wiedauwkaai 51, 9032 Gent, Belgium",info@hackerspace.gent,,ghent@discuss.hackerspaces.be,,72,51.07478,3.72446,https://hackerspace.gent
Hackerspace Nijmegen,"Villanovastraat 4, 6542 JA, Nijmegen, The Netherlands",info@hackerspacenijmegen.nl,irc://Libera/#hsnijmegen,,,73,51.83753,5.84466,http://hackerspacenijmegen.nl
Hackerspace.gr,"Ampatielou 11, 11144 Athens, Greece",,irc://chat.freenode.net/#hsgr,discuss@hackerspace.gr,,74,38.01695,23.73124,https://www.hackerspace.gr
Hackerspace Trójmiasto,"al. Wojska Polskiego 41, 80-268 Gdańsk, Poland",kontakt@hs3.pl,,,,75,54.38976656812341,18.581582307815555,https://hs3.pl/
Hacklabor,"Hagenower Str. 73, 19061 Schwerin, Germany",inbox@hacklabor.de,,,,76,53.6011,11.4183,http://hacklabor.de
Hacksaar,"Rathausstraße 18, 66125 Saarbrücken, Germany",vorstand@hacksaar.de,,public@lists.hacksaar.de,,77,49.2793,7.035725,https://www.hacksaar.de
HaSi e.V.,"Effertsufer 104, 57072 Siegen, Germany",kontakt@ha.si,,,,78,50.86904,8.00464,https://ha.si
Hakierspejs Łódź,"Zielona 30 l.u. 3, Łódź, Poland",kontakt [ ^ AT ^ ] hakierspejs.pl,irc://irc.libera.chat/hakierspejs,,,79,51.76924,19.4452769,https://lodz.hackerspace.pl
hacKNology e.V.,"Blarerstraße 56, 78462 Konstanz, Germany",info@hacknology.de,,public@lists.hacknology.de,,80,47.65942,9.16594,https://www.hacknology.de
haxko,"Kurfürstendamm 1, 56626 Andernach, Germany",kontakt@haxko.space,ircs://irc.hackint.org:6697/#haxko,,,81,50.4345,7.4045,https://haxko.space/
HeatSync Labs,,,irc://irc.freenode.net/#heatsynclabs,http://groups.google.com/group/heatsynclabs,,82,,,http://www.heatsynclabs.org
HTU Graz - E-Lab,"Inffeldgasse 10, 8010 Graz, Austria",elab@htu.tugraz.at,,,,83,47.05834,15.459288,https://elab.htu.tugraz.at
ibb_space,"Wilhelmstrasse 239, 49479 Ibbenbueren, Germany",ibbspace@fstl-ibb.de,,,,84,52.269986747852855,7.7421172141685695,https://ibbspace.org
IT-Syndikat,"Tschamlerstrasse 3, 6020 Innsbruck, Austria",wir@it-syndikat.org,ircs://libera.chat/#it-syndikat,,,85,47.257827,11.3961024,https://it-syndikat.org/
K4CG,"Koenigstraße 93, 90402 Nuernberg",info@k4cg.org,,k4cg@k4cg.org,,86,49.4487901,11.0819743,https://k4cg.org
Ko-Lab Mechelen,"Potterijstraat 5, 2800 Mechelen, Belgium",info@ko-lab.space,,,,87,51.02204,4.4828,https://ko-lab.space/
Krautspace – Hackspace Jena e.V.,"Hackspace Jena e. V., Krautgasse 26, 07743 Jena, Germany",office@kraut.space,,,,88,50.9292,11.5826,https://kraut.space
LAG,"Eerste Schinkelstraat 16, 1075 TX Amsterdam, The Netherlands",info@laglab.org,irc://irc.indymedia.nl/#lag,,,89,52.35406,4.85423,http://laglab.org
Laboratorio Hacker de Campinas,"Rua Araribóia, 121 - Campinas - SP, Brazil",contato@lhc.net.br,,,,90,-22.9177931,-47.0550707,https://lhc.net.br
LeineLab,"LeineLab, Hüttenstraße 22B, 30165 Hannover",anfragen@leinelab.org,,hspace@lists.leinelab.org,,91,52.39314,9.72285,https://leinelab.org
Level2,"87, route de Thionville, L-2611 Bonnevoie, Luxembourg",info@syn2cat.lu,,syn2cat-discuss@lists.hackerspace.lu,,92,49.591595,6.14051,https://level2.lu
Linux User Group Saar e.V.,"Luxemburger Ring 8, 66740 Saarlouis, Germany",info@lug-saar.de,,,,93,49.31327,6.7469,https://lugsaar.de/
London Hackspace,"41–43 Standard Road, The Republic of Park Royal, Ealing, NW10 6HF",contact@london.hackspace.org.uk,ircs://chat.freenode.net/london-hack-space,london-hack-space@googlegroups.com,,94,51.5277,-0.2642,https://london.hackspace.org.uk
LuXeria,"Ebikonerstrasse 75, CH-6043 Adligenswil, Switzerland",zimmermann.anja@outlook.com,irc://irc.libera.chat/luxeria,,,95,47.073,8.357,https://luxeria.ch/
Maakplek,"Maakplek, Struisvogelstraat 15, 9713 BT, Groningen, The Netherlands",welkom@maakplek.nl,,,,96,53.231056,6.58389,https://www.maakplek.nl
Mainframe,"Bahnhofsplatz 10, 26122 Oldenburg, Germany",vorstand@kreativitaet-trifft-technik.de,,https://mailman.ktt-ol.de/postorius/lists/diskussion.lists.ktt-ol.de/,,97,53.14402,8.21988,https://mainframe.io/
MakeSpace Madrid,"Calle Ruiz Palacios 7, 28039 Madrid, Spain",info@makespacemadrid.org,,,,98,40.46171,-3.70434,https://makespacemadrid.org
Makers Local 256,,contact@makerslocal.org,irc://chat.freenode.net/#makerslocal,http://lists.makerslocal.org/,,99,,,https://256.makerslocal.org
Makers im Zigerschlitz,,info@zigerschlitzmakers.ch,,,,100,47.0988111,9.0698778,https://zigerschlitzmakers.ch
Makerspace Erfurt,"Buessleber Gasse 1, 99084 Erfurt, Germany",kontakt@technikkultur-erfurt.de,,,,101,50.973251,11.036885,https://makerspace-erfurt.de
makerspace-gt,"Bogenstrasse 1-8, 33330 Guetersloh, Germany",info@makerspace-gt.de,,,,102,51.9021432,8.3750429,https://makerspace-gt.de
Makerspace Leiden,"Volmolengracht 13, 2312 PG Leiden",bestuur@makerspaceleiden.nl,,,,103,52.16270661099023,4.493948742846493,https://makerspaceleiden.nl/
Maker Space,"Maker Space, c/o Orbis Community, Ground Floor, 65 High Street, Gateshead, NE8 2AP",,,north-east-makers@googlegroups.com,,104,54.9652,-1.60233,https://www.makerspace.org.uk/
Maschinendeck,"Eurener Straße 48Z, 54294 Trier, Germany",kontakt@maschinendeck.org,irc://irc.libera.chat/maschinendeck,public-subscribe@maschinendeck.org,,105,49.75014,6.61661,https://maschinendeck.org
metameute,"Gebäude 64, Ratzeburger Allee 160, 23562 Lübeck, Germany",metameute@asta.uni-luebeck.de,,,,106,53.83379316748737,10.704296399131595,https://www.metameute.de
Milton Keynes Makerspace,"30 Burners Lane, Kiln Farm, Milton Keynes MK11 3HB",,,https://groups.google.com/g/milton-keynes-makerspace,,107,52.041439,-0.76056,https://mkmakerspace.co.uk
Milwaukee Makerspace,"2555 South Lenox Street, Milwaukee, WI 53207, USA",info@milwaukeemakerspace.org,,milwaukeemakerspace@googlegroups.com,,108,42.998085,-87.898484,http://milwaukeemakerspace.org
Minsk Hackerspace,"Basement near the entrance 3, vul. Biady 45, Minsk, Belarus",info@hackerspace.by,irc://irc.bynets.org/#hackerspace,hackerspace-minsk@googlegroups.com,,109,53.94287,27.59749,https://hackerspace.by
MuCCC,"Heßstrasse 90, München, Germany",info@muc.ccc.de,ircs://irc.hackint.org/#muccc,talk@lists.muc.ccc.de,,110,48.15367,11.56078,https://muc.ccc.de
Munich Maker Lab,"Dachauer Str. 112h, 80636 München, Germany",info@munichmakerlab.de,irc://irc.hackint.eu/munichmakerlab,discuss@munichmakerlab.de,,111,48.158752,11.5482333,https://munichmakerlab.de/
<name>space,"An der Salzstraße 13-15, 07551 Gera, Germany",namespace@buergernetz-gera-greiz.de,,,,112,50.836953,12.078655,https://www.buergernetz-gera-greiz.de/namespace
NURDspace,"Vergersweg 22-24, 6707 HT Wageningen, The Netherlands",,irc://irc.oftc.net/#nurds,nurds@nurdspace.nl,,113,51.973273,5.669681,https://nurdspace.nl/
Nerd2Nerd,"Veitshöchheimer Str. 14, 97080 Würzburg, Germany",info@nerd2nerd.org,irc://irc.nerd2nerd.org:6697/#geeks,nerd2nerd@nerd2nerd.org,,114,49.801806,9.923105,http://www.nerd2nerd.org
Nerdberg,"Jakobinenstraße 26, 90762 Fuerth, Germany",vorstand@lists.nerdberg.de,irc://irc.hackint.org/nerdberg,freunde@lists.nerdberg.de,,115,49.47048,11.0033,https://www.nerdberg.de
Nottinghack,"Unit F6 Roden House, Roden Street, Nottingham, NG3 1JH, ",,ircs://irc.libera.chat:6697/#nottinghack,nottinghack@googlegroups.com,,116,52.9557,-1.135,https://nottinghack.org.uk
Odenwilusenz,"Hardmorgenweg 21, 8222 Beringen, Switzerland",mail@odenwilusenz.ch,,,,117,47.695,8.58,https://odenwilusenz.ch
økoyono,"ANX84, netcup colocation in the NorthC RZ, Nürnberg, Germany",spaceapi@økoyono.de,,,,118,49.3895261,11.1764104,https://okoyono.de/
Omega Verksted,"Omega Verksted, O. S. Bragstads Plass 2G, 7034 Trondheim, Norway",omegav@omegav.no,,,,119,63.41861,10.40196,https://omegav.no
Open Space Aarhus,"Open Space Aarhus, Olof Palmes Allé 11, 8200 Aarhus N, Denmark",info@osaa.dk,,openspaceaarhus@googlegroups.com,,120,56.1860826,10.1871765,https://osaa.dk
OpenLab Augsburg,"Bäckergasse 32, 86150 Augsburg, Germany",kontakt@openlab-augsburg.de,ircs://libera.chat/#augsburg,alle@lists.openlab-augsburg.de,,121,48.36263,10.90261,https://openlab-augsburg.de
Open-Lab Vorarlberg,"M² Klaus, Treietstraße 17, Klaus, Vorarlberg, Austria",info@open-lab.at,,,,122,47.30509085141842,9.646033516048838,https://open-lab.at
P'yŏngyang Hackerspace,"Kim Il-sung University, 1001 P'yŏngyang, Democratic People's Republic of Korea",,,,,123,39.058056,125.768333,http://status.pyongyanghackerspace.org
Pangloss Labs #1,"12bis rue de Gex, 01210 Ferney-Voltaire, France",enquiries@panglosslabs.org,,,,124,46.25947,6.107725,https://panglosslabs.org
Pawprint Prototyping,"545 Aldo Ave #24, Santa Clara, CA 95054",info@pawprintprototyping.org,,,,125,37.3857157,-121.9487247,https://pawprintprototyping.org
Perth Artifactory,"8/16 Guthrie Street, Osborne Park, WA 6017",info@artifactory.org.au,irc://freenode.net/#artifactory,artifactory-core@googlegroups.com,,126,-31.901846,115.810136,http://artifactory.org.au/
Pixelbar,"Unit K14.1.01, Schiemond 20, 3024 EE Rotterdam",bestuur@pixelbar.nl,irc.smurfnet.ch,pixelbar@lists.pixelbar.nl,,127,51.903083,4.449638,https://pixelbar.nl
Polytechnischer Werkraum Zittau,"Wächterhaus, Innere Weberstraße 16, 02763 Zittau, Germany, Europe, Planet Earth",werkraum@freiraumzittau.de,,https://lists.freiraumzittau.de/mailman/listinfo/hackerspace,,128,50.8975,14.8044,https://www.werkraum.space/
Hackerspace Pomorze,"Do Studzienki 28, Gdańsk, Poland",kontakt@pomorze.hackerspace.pl,irc://irc.freenode.net/hsp.sh,,,129,54.37116,18.61124,https://hsp.sh
Port39,"Hafenstraße 20, 18439 Stralsund",info@port39.de,,,,130,54.31239,13.10008,https://port39.de
Post Tenebras Lab,"Avenue de la Praille 36, 1227 Carouge, Switzerland",comite@posttenebraslab.ch,irc://irc.freenode.net/#posttenebraslab,ptl@posttenebraslab.ch,,131,46.187134981155396,6.133659482002258,https://www.posttenebraslab.ch
Programvareverkstedet,"Sem Sælands vei 1, 7034 Trondheim, Norway",pvv@pvv.ntnu.no,irc://irc.pvv.ntnu.no/pvv,,,132,63.4170226,10.4063852,https://www.pvv.ntnu.no/
RaumZeitLabor,"RaumZeitLabor, Weinheimer Strasse 58-60, 68309 Mannheim, Germany",info@raumzeitlabor.de,irc://irc.hackint.eu/#raumzeitlabor,raumzeitlabor@raumzeitlabor.de,,133,49.5073792,8.5206065,https://raumzeitlabor.de
Recompile,"Lundavägen 12, 212 18 Malmö, Sweden",roots@recompile.se,,,,134,55.6066452,13.0258658,https://www.recompile.se/
RevSpace,"Overgoo 1, 2266 JZ Leidschendam, The Netherlands",board@revspace.nl,irc://libera.chat/#revspace,,,135,52.0777306,4.3901992,https://revspace.nl/
Hackwerk Aalen e.V.,"SFZ-Aalen, Aaccelerator, Blezingerstraße 15, 73430 Aalen, Germany",info@aalen.space,,,,136,48.854778,10.09053,https://aalen.space/
Schaffenburg,"Dorfstraße 1, 63741 Aschaffenburg, Germany",kontakt@schaffenburg.org,ircs://irc.hackint.org/#schaffenburg,,,137,49.98778,9.135833,https://www.schaffenburg.org
Segmentation Vault,"Segmentation Vault, Ludwig-Stoehr-Strasse 8, 3100 St. Poelten, Austria",info@segvault.space,,,,138,48.20365,15.62016,https://segvault.space
Sheffield Hackspace,"Sheffield Hackspace, Portland Works, Randall St, Highfield, Sheffield S2 4SJ",trustees@sheffieldhackspace.org.uk,,,,139,53.369933,-1.473812,https://www.sheffieldhackspace.org.uk
So Make It,"Unit F, Liners Industrial Estate, Southampton, SO15 3FQ, ",,,somakeit@googlegroups.com,,140,52.9557,-1.135,https://www.somakeit.org.uk
Stockholm Makerspace,"Drottning Kristinas väg 53, 114 28 Stockholm, Sweden",info@makerspace.se,,,,141,59.3505623,18.0676122,https://makerspace.se
Spline,"Takustr. 9, 14195 Berlin, Germany",spline@spline.de,irc://irc.libera.chat/spline,spline@lists.spline.de,,142,52.456097,13.297432,https://spline.de
Stratum 0,"Hamburger Strasse 273a, Haus A2, 38114 Braunschweig, Germany",kontakt@stratum0.org,ircs://irc.libera.net/#stratum0,normalverteiler@stratum0.org,,143,52.2785658,10.5211247,https://stratum0.org
Subraum,"Westernmauer 12-16, 33098 Paderborn, Germany",mail@c3pb.de,,,,144,51.71707,8.74752,https://c3pb.de/
Swansea Hackspace,"21/22 Park Street, Swansea, UK. SA1 3DJ",info@swansea.hackspace.org.uk,,hackspace@swansea.hackspace.org.uk,,145,51.6202,-3.9461,http://swansea.hackspace.org.uk/
TDvenlo,"Begijnengang 2, 5911 JL, Venlo, The Netherlands",info@tdvenlo.nl,,,,146,51.3694,6.16998,https://www.tdvenlo.nl
TAMI,"Shoken 19, Tel Aviv, Israel",tami@tami.org.il,,,,147,32.0525266,34.77233206,https://telavivmakers.org
TechTonik Labs,"158 Aero Camino, Suite D Santa Barbara, CA 93117",,,,,148,34.43237,-119.84842,http://sbhackerspace.com
Technologia Incognita,"Louwesweg 1, room 1.29B, 1066 EA Amsterdam",hack AT techinc DOT nl,#techinc @ OFTC,members@techinc.nl,https://wiki.techinc.nl,149,52.345558,4.826466,https://www.techinc.nl
The Bodgery,"740 Oscar Ave, Madison, WI  53704",contact@thebodgery.org,,,,150,-89.35572,43.10854,https://www.thebodgery.org
The Space Leiden,"Bètaplein 28, 2321KS Leiden, The Netherlands",info@spaceleiden.nl,,,,151,52.145807367875896,4.493707267634785,https://spaceleiden.nl/
